strongs,word,occurrences,english_meaning,telugu_meaning
H3463,יָשֵׁן,5,"(one out of) sleep(-eth, -ing), slept.",
H3469,יִשׁעִי,5,the name of four Israelites,
H3488,יְתִב,5,"ythiyb (yeth-eeb') v. 1. to sit or dwell [(Aramaic) corresponding to H3427] KJV: dwell, (be) set, sit.  Root(s): H3427",
H3505,יִתרִי,5,a Jithrite or descendant of Jether,
H3540,כְּדָרלָעוֹמֶר,5,an early Persian king,
H3660,כְּנֵמָא,5,"knema' (ken-ay-maw') adv. 1. so or thus [(Aramaic) corresponding to H3644] KJV: so, (in) this manner (sort), thus.  Root(s): H3644",
H3668,כְּנַעֲנָה,5,the name of two Israelites,
H3717,כָּפַל,5,to fold together; (figuratively) to repeat,
H3721,כָּפַף,5,to curve,
H3761,כַּרמְלִי,5,a Karmelite or inhabitant of Karmel (the town),
H3795,כָּתִיתּ,5,i.e. pure (oil),
H3823,לָבַב,5,(as denominative from H3834) to make cakes,
H3845,לִבנִי,5,an Israelite,
H3849,לוֹג,5,a log or measure for liquids,
H3865,לוּד,5,the name of two nations,
H3908,לַחַשׁ,5,"earring, enchantment, orator, prayer.",
H3913,לָטַשׁ,5,i.e. to sharpen,
H3916,לֵילְיָא,5,leylya' (lay-leh-yaw') n-m. 1. night [(Aramaic) corresponding to H3815]  Root(s): H3815,
H3993,מַאֲרָב,5,"ambushment, lurking place, lying in wait.",
H3994,מְאֵרָה,5,an execration,
H4076,מָדַי,5,Maday (maw-dah'-ee) n/l. 1. Mede(-s) [(Aramaic) corresponding to H4074]  Root(s): H4074,
H4134,מוּך,5,i.e. (figuratively) be impoverished,
H4158,מוֹפַעַת מֵיפַעַת מֵפַעַת,5,a place in Israel,
H4162,מוֹצָא,5,the name of two Israelites,
H4212,מְזַמְּרָה,5,a tweezer (only in the plural),
H4227,מַחֲבַת,5,a pan for baking in,
H4244,מַחלָה,5,the name apparently of two Israelitesses,
H4301,מַטמוֹן מַטמוֹן מַטמוּן,5,(hid) treasure(-s).,
H4311,מֵידֶּבָא,5,a place in Israel,
H4348,מִכוָה,5,burning.,
H4370,מִכנָס,5,(only in dual) drawers (from concealing the private parts),
H4414,מָלַח,5,"salt, season, temper together, vanish away.",
H4444,מַלכִּישׁוַּע,5,an Israelite,
H4446,מְלֶכֶת,5,a queen,
H4448,מָלַל,5,"speak, utter.",
H4449,מְלַל,5,"mlal (mel-al') v. 1. to speak [(Aramaic) corresponding to H4448] KJV: say, speak(-ing).  Root(s): H4448",
H4483,מְנָא מְנָה,5,"mna' (men-aw') ((Aramaic) or mnah (Aramaic) {men-aw'}) v. 1. to count, appoint [corresponding to H4487] KJV: number, ordain, set.  Root(s): H4487",
H4488,מָנֶה,5,i.e. (techn.) a maneh or mina,
H4524,מֵסַב מֶסִבִּים מֶסִבּוֹת,5,"(place) round about, at table.",
H4531,מַסָּה,5,of men (judicial) or of God (querulous),
H4537,מָסַך,5,especially wine (with spices),
H4554,מִספּוֹא,5,fodder,
H4612,מַעֲמָד,5,"office, place, state.",
H4615,מַעֲמָק,5,depth.,
H4705,מִצעָר,5,a short (time),
H4768,מַרבִּיתּ,5,"greatness, increase, multitude.",
H4785,מָרָה,5,a place in the Desert,
H4794,מְרוּצָה מְרוּצָה,5,whether the manner or the progress,
H4867,מִשׁבָּר,5,wave.,
H4937,מִשׁעֵן מִשׁעָן,5,i.e. (figuratively) a protector or sustenance,
H4971,מַתכּוֹנֶת מַתכּוּנֶת,5,number or ingredients),
H4976,מַתּתָּן,5,"to give, reward.",
H4985,מָתַק,5,X take) sweet.,
H4996,נוֹא,5,the capital of Upper Egypt,
H5007,נְאָצָה נֶאָצָה,5,scorn,
H5032,נְבָיוֹת נֶבָיוֹת,5,"a son of Ismael, and the country settled by him",
H5098,נָהַם,5,roar(-ing).,
H5184,נַחַת,5,the name of an Edomite and of two Israelites,
H5218,נָכֵא נָכָא,5,i.e. (figuratively) afflicted,
H5233,נֶכֶס,5,wealth.,
H5243,נָמַל,5,circumcise.,
H5250,נִמשִׁי,5,the (grand-)father of Jehu,
H5279,נַעֲמָה,5,"the name of an antediluvian woman, of an Ammonitess, and of a place in Israel",
H5317,נוֹפֶת,5,a dripping i.e. of honey (from the comb),
H5356,נִקָּיוֹן נִקָּיוֹן,5,innocency.,
H5367,נָקַשׁ,5,literally or figuratively,
H5449,סַבָּל,5,bearer of) burden(-s).,
H5456,סָגַד,5,to prostrate oneself (in homage),
H5460,סְגַן,5,cgan (seg-an') n-m. 1. governor [(Aramaic) corresponding to H5461]  Root(s): H5461,
H5486,סוּף,5,i.e. terminate,
H5490,סוֹף,5,"end, hinder participle",
H5491,סוֹף,5,cowph (sofe) n-m. 1. end [(Aramaic) corresponding to H5490]  Root(s): H5490,
H5498,סָחַב,5,tear.,
H5559,סְלִק,5,cliq (sel-eek') v. 1. to ascend [(Aramaic) a primitive root] KJV: come (up).,
H5566,סֶמֶל סֵמֶל,5,"idol, image.",
H5579,סְנַפִּיר,5,a fin (collectively),
H5599,סָפִיַח,5,(figuratively) a freshet,
H5609,סְפַר,5,"cphar (sef-ar') n-m. 1. a book [(Aramaic) from a root corresponding to H5608] KJV: book, roll.  Root(s): H5608",
H5632,סָרֵך,5,carek (saw-rake') n-m. 1. an emir [(Aramaic) of foreign origin] KJV: president.,
H5763,עוּל,5,i.e. give milk,
H5767,עַוָּל,5,"unrighteous, wicked.",
H5786,עָוַר,5,put out. See also H5895.,
H5862,עֵיטָּם,5,a place in Israel,
H5870,עַיִן,5,`ayin (ah'-yin) n-f. 1. an eye [(Aramaic) corresponding to H5869] KJV: eye.  Root(s): H5869,
H5871,עַיִן,5,the name (thus simply) of two places in Israel,
H5881,עֵינָן,5,an Israelite,
H5891,עֵיפָה,5,also of an Israelite and of an Israelitess,
H5911,עָכוֹר,5,the name of a place in Israel,
H5915,עַכסָה,5,an Israelitess,
H5918,עָכרָן,5,an Israelite,
H5934,עָלוּם,5,H5958,
H5968,עָלַף,5,"overlaid, wrap self.",
H5996,עַמִּישַׁדַּי,5,an Israelite,
H6022,עֲמָשַׂי,5,the name of three Israelites,
H6069,עַנתּוֹתִי עַנְּתוֹתִי,5,"Anethothite, Anetothite, Antothite.",
H6071,עָסִיס,5,new (sweet) wine.,
H6077,עוֹפֶל,5,a ridge in Jerusalem,
H6082,עוֹפֶר,5,a fawn (from the dusty color),
H6094,עַצֶּבֶת,5,a pain or wound,
H6117,עָקַב,5,(figuratively) to circumvent (as if tripping up the heels),
H6140,עָקַשׁ,5,"(prove, that is) perverse(-rt).",
H6141,עִקֵּשׁ,5,"froward, perverse.",
H6155,עָרָב,5,a willow (from the use of osiers as wattles),
H6166,עֲרָד,5,"the name of a place near Israel, also of a Canaanite and an Israelite",
H6195,עָרמָה,5,"prudence, subtilty, wilily, wisdom.",
H6217,עָשׁוּק עָשׁוּק,5,tyranny,
H6295,פַּגעִיאֵל,5,an Israelite,
H6301,פְּדָהצּוּר,5,an Israelite,
H6335,פּוּשׁ,5,"be grown fat, spread selves, be scattered.",
H6396,פַּלּוּא,5,an Israelite,
H6398,פָּלַח,5,i.e. break open or pierce,
H6410,פְּלַטיָה פְּלַטיָהוּ,5,the name of four Israelites,
H6428,פָּלַשׁ,5,to roll (in dust),
H6446,פַּס,5,i.e. of many breadths),
H6465,פְּעוֹר,5,(for H1187) a deity worshipped there,
H6470,פָּעַם,5,"(hence, generally) to impel or agitate",
H6553,פִּרעָתוֹנִי פִּרעָתוֹנִי,5,a Pirathonite or inhabitant of Pirathon,
H6567,פָּרָשׁ,5,"declare, distinctly, shew, sting.",
H6617,פָּתַל,5,i.e. (literally) to struggle or (figuratively) be (morally) tortuous,
H6623,פִּתרוֹן פִּתרוֹן,5,interpretation (of a dream),
H6624,פַּתרוֹס,5,a part of Egypt,
H6647,צְּבַע,5,tsba` (tseb-ah') v. 1. to dip [(Aramaic) a root corresponding to that of H6648] KJV: wet.  Root(s): H6648,
H6686,צּוּעָר,5,an Israelite,
H6689,צּוּף צּוֹפַי צִּיף,5,the name of an Israelite and of a place in Israel,
H6698,צּוּר,5,the name of a Midianite and of an Israelite,
H6699,צּוּרָה,5,rock.,
H6701,צּוּרִישַׁדַּי,5,an Israelite,
H6706,צְּחִיַח,5,i.e. exposed to the bright sun,
H6714,צּוֹחַר,5,the name of a Hittite and of an Israelite,
H6775,צָּמַד,5,"(figuratively) to serve, (mentally) contrive",
H6788,צַּמֶּרֶת,5,i.e. foliage,
H6808,צָּעָה,5,"travelling, (cause to) wander(-er).",
H6826,צִּפּוּי,5,overlaying.,
H6848,צֶּפַע צִּפעוֹנִי,5,i.e. hissing),
H6876,צּוֹרִי,5,a Tsorite or inhabitant of Tsor (i.e. Syrian),
H6893,קָאַת,5,probably the pelican (from vomiting),
H6914,קִברוֹת הַתּתַּאֲוָה,5,a place in the Desert,
H6919,קָדַח,5,kindle,
H6948,קְדֵשָׁה,5,whore.,
H6982,קוֹרָה קוֹרָה,5,roof.,
H6998,קָטַף,5,"cut down (up), pluck.",
H7021,קִיקָיוֹן,5,the gourd (as nauseous),
H7024,קִיר,5,also one in Moab,
H7025,קִיר חֶרֶשׂ קִיר חֲרֶשֶׂת,5,a place in Moab,
H7087,קָפָא,5,"i.e. thicken (as unracked wine, curdled milk, clouded sky, frozen water)",
H7096,קָצָה,5,"cut short, scrape (off).",
H7099,קֶצֶו קִצוָה,5,but with less variety),
H7116,קָצֵר,5,"number, life, strength or temper)",
H7117,קְצָת,5,with prepositional prefix) after,
H7134,קַרדּוֹם,5,an axe,
H7135,קָרָה,5,coolness,
H7158,קִריַת סַנָּה קִריַת סֵפֶר,5,"Kirjath-Sannah or Kirjath-Sepher, a place in Israel",
H7169,קָרַץ,5,"i.e. (partially) to bite the lips, blink the eyes (as a gesture of malice), or (fully) to squeeze off (a piece of clay in order to mould a vessel from it)",
H7176,קֶרֶת,5,a city,
H7183,קַשָּׁב קַשּׁוּב,5,hearkening,
H7210,רֳאִי,5,"look to, (that) see(-th).",
H7238,רְבוּ,5,"rbuw (reb-oo') n-f. 1. increase (of dignity) [(Aramaic) from a root corresponding to H7235] KJV: greatness, majesty.  Root(s): H7235",
H7312,רוּם רוּם,5,"height, X high.",
H7314,רוּם,5,ruwm (room) n-m. 1. (literally) altitude [(Aramaic) from H7313] KJV: height.  Root(s): H7313,
H7343,רָחָב,5,a Canaanitess,
H7345,רְחַביָה רֶחַביָהוּ,5,an Israelite,
H7347,רֵחֶה,5,a mill-stone,
H7397,רֵכָה,5,a place in Israel,
H7408,רָכַשׁ,5,i.e. collect,
H7466,רְעוּ,5,a postdiluvian patriarch,
H7484,רַעמָה,5,"the name of a grandson of Ham, and of a place (perhaps founded by him)",
H7486,רַעמְסֵס רַעַמסֵס,5,a place in Egypt,
H7491,רָעַף,5,drop (down).,
H7508,רְפִידִּים,5,a place in the Desert,
H7509,רְפָיָה,5,the name of five Israelites,
H7538,רָקָב,5,decay (by caries),
H7541,רַקָּה,5,i.e. the side of the head,
H7599,שָׁאַן,5,i.e. be peaceful,
H7603,שְׂאוֹר,5,barm or yeast-cake (as swelling by fermentation),
H7624,שְׁבַח,5,"shbach (sheb-akh') v. 1. to adulate, i.e. adore [(Aramaic) corresponding to H7623] KJV: praise.  Root(s): H7623",
H7654,שָׂבעָה,5,"X till...be full, (un-)satiable, satisfy, X sufficiently.",
H7662,שְׁבַק,5,"shbaq (sheb-ak') v. 1. to quit, i.e. allow to remain [(Aramaic) corresponding to the root of H7733] KJV: leave, let alone.  Root(s): H7733",
H7698,שֶׁגֶר,5,increase.,
H7707,שְׁדֵיאוּר,5,an Israelite,
H7745,שׁוּחָה,5,pit.,
H7747,שׁוּחִי,5,a Shuchite or descendant of Shuach,
H7851,שִׁטִּים,5,a place East of the Jordan,
H7868,שִׂיבּ,5,siyb (seeb) v. 1. elder [(Aramaic) corresponding to H7867]  Root(s): H7867,
H7918,שָׁכַך,5,abate a flood),
H7951,שָׁלָה שָׁלַו,5,i.e. secure or successful,
H8013,שְׁלוֹמוֹת,5,the name of two Israelites,
H8017,שְׁלוּמִיאֵל,5,an Israelite,
H8029,שִׁלֵּשׁ,5,i.e. great grandchild,
H8041,שָׂמַאל,5,"turn) (on the, to the) left.",
H8051,שַׁמּוַּע,5,the name of four Israelites,
H8059,שְׁמִטָּה,5,remission (of debt) or suspension of labor),
H8070,שְׁמִירָמוֹת שְׁמָרִימוֹת,5,the name of two Israelites,
H8080,שָׁמַן,5,"i.e. (by analogy) be (causatively, make) oily or gross",
H8087,שֶׁמַע,5,the name of a place in Israel and of four Israelites,
H8092,שִׁמעָא,5,the name of four Israelites,
H8105,שֶׁמֶר,5,i.e. the settlings (plural only) of wine,
H8106,שֶׁמֶר,5,the name of three Israelites,
H8110,שִׁמרוֹן,5,the name of an Israelite and of a place in Israel,
H8155,שָׁסַס,5,spoil.,
H8160,שָׁעָה,5,"sha`ah (shaw-aw') n-f. 1. (properly) a look, i.e. a moment [(Aramaic) from a root corresponding to H8159] KJV: hour.  Root(s): H8159",
H8186,שַׁעֲרוּרָה שַׁעֲרִירִיָה שַׁעֲרוּרִת,5,H8175,
H8222,שָׂפָם,5,(upper) lip.,
H8239,שָׁפַת,5,reduce,
H8282,שָׂרָה,5,i.e. female noble,
H8286,שְׂרוּג,5,a postdiluvian patriarch,
H8324,שָׁרַר,5,to be hostile (only active participle an opponent),
H8348,שֵׁשָׁן,5,an Israelite,
H8355,שְׁתָה,5,shthah (sheth-aw') v. 1. drink [(Aramaic) corresponding to H8354]  Root(s): H8354,
H8463,תַּחֲלוּא תַּחֲלוּא,5,"X grievous, (that are) sick(-ness).",
H8485,תֵּימָא תֵּמָא,5,"a son of Ishmael, and the region settled by him",
H8503,תַּכלִיתּ,5,perfect(-ion).,
H8510,תֵּל,5,X strength.,
H8525,תֶּלֶם,5,ridge.,
H8538,תּוּמָּה,5,innocence,
H8550,תּוּמִּים,5,i.e. (techn.) one of the epithets of the objects in the high-priest's breastplate as an emblem of complete Truth,
H8562,תַּמרוּק תַּמרוּק תַּמרִיק,5,(figuratively) a detergent,
H8570,תְּנוּבָה,5,increase.,
H8572,תְּנוּמָה,5,i.e. sleep,
H8575,תַּנחוּם תַּנחוּם תַּנחוּמָה,5,solace,
H8583,תּוֹעוּ תּוֹעִי,5,"Tou or Toi, a Syrian king",
H8588,תַּעֲנוּג תַּעֲנוּג תַּעֲנוּגָה,5,"delight, pleasant.",
H8624,תַּקִּיף,5,"taqqiyph (tak-keef') adj. 1. mighty, strong [(Aramaic) corresponding to H8623]  Root(s): H8623",
H8631,תְּקֵף,5,"tqeph (tek-afe') v. 1. to become (causatively, make) mighty or (figuratively) obstinate [(Aramaic) corresponding to H8630] KJV: make firm, harden, be(-come) strong.  Root(s): H8630",
H8636,תַּרבִּיתּ,5,i.e. percentage or bonus in addition to principal,
H8660,תִּרשָׁתָא,5,the title of a Persian deputy or governor,
H9,אֲבֵדָה,4,i.e. Hades,
H42,אֲבִינוֹעַם,4,an Israelite,
H59,אָבֵל,4,the name of two places in Israel,
H84,אֶברָה,4,wing,
H88,אוֹבוֹת,4,a place in the Desert,
H92,אֲגֻדָּה,4,"bundle, knot, or arch",
H174,אֲהָלִים אֲהָלוֹת,4,aloe wood (i.e. sticks),
H198,אוּלָם,4,the name of two Israelites,
H208,אוֹנָם,4,the name of an Edomite and of an Israelite,
H222,אוּרִיאֵל,4,the name of two Israelites,
H225,אוּת,4,(properly) to come; (implied) to assent,
H289,אֲחִימַן אֲחִימָן,4,the name of an Anakite and of an Israelite,
H323,אֲחַשׁדַּרפַּן,4,a satrap or governor of a main province (of Persia),
H329,אָטָד,4,"bramble, thorn.",
H344,אַיָה,4,i.e. a hawk,
H381,אִישׁ ־ חַיִל אִישׁ ־ חַי,4,an Israelite,
H391,אַכזָב,4,lie.,
H392,אַכזִיבּ,4,the name of two places in Israel,
H408,אַל,4,"neither, + never, no ,nor, not, nothing (worth), rather than.",
H445,אֶלחָנָן,4,an Israelite,
H450,אֶליָדָע,4,the name of two Israelites and of an Aramaean leader,
H491,אַלמָנוּת,4,widowhood.,
H502,אָלַף,4,to learn (and causatively to teach),
H521,אַמָּה,4,ammah (am-maw') n-f. 1. cubit [(Aramaic) corresponding to H520]  Root(s): H520,
H536,אוּמלַל,4,sick,
H579,אָנָה,4,"deliver, happen, seek a quarrel.",
H581,אִנּוּן אִנִּין,4,"innuwn (in-noon') ((Aramaic) or (feminine) inniyn (Aramaic) {in- neen'}) p/d. 1. they [corresponding to H1992] KJV: X are, them, these.  Root(s): H1992",
H586,אֲנַחנָא אֲנַחנָה,4,anachna' (an-akh'-naw) ((Aramaic) or ganachnah (Aramaic) {an-akh- naw'}) p/p. 1. we [corresponding to H587] KJV: we.  Root(s): H587,
H594,אֲנָך,4,and to others a hook,
H602,אָנַק,4,groan.,
H603,אֲנָקָה,4,"groaning, sighing.",
H612,אֵסוּר,4,+ prison.,
H616,אַסִּיר,4,prisoner,
H638,אַף,4,aph (af) conj. 1. also [(Aramaic) corresponding to H637]  Root(s): H637,
H729,אָרַז,4,to be firm; used only in the passive participle as a denominative from H730],
H733,אָרַח,4,the name of three Israelites,
H739,אֲרִיאֵל אֲרִאֵל,4,H410,
H780,אֲרָרַט,4,Armenia.,
H809,אֲשִׁישָׁה,4,something closely pressed together; a cake of raisins or other comfits,
H864,אֵתָם,4,a place in the Desert,
H928,בֶּהָלָה,4,destruction,
H955,בּוּשָׁה,4,shame,
H981,בָּטָא בָּטָה,4,speak (unadvisedly).,
H1020,בֵּיתּ הַיְשִׁימוֹת,4,a town East of the Jordan,
H1022,בֵּיתּ הַלַּחמִי,4,or native of Bethlechem,
H1037,בֵּיתּ מִלּוֹא בֵּיתּ מִלּוֹא,4,the name of two citadels,
H1047,בֵּיתּ פְּעוֹר,4,a place East of the Jordan,
H1049,בֵּיתּ צּוּר,4,a place in Israel,
H1057,בָּכָא,4,perhaps the balsam),
H1069,בָּכַר,4,as denominative from H1061) to give the birthright,
H1082,בָּלַג,4,(recover) strength(-en).,
H1092,בִּלהָן,4,"Bilhan (bil-hawn') n/p. 1. timid 2. Bilhan, the name of an Edomite and of an Israelite [from H1089] KJV: Bilhan.  Root(s): H1089",
H1120,בָּמוֹת בָּמוֹת בַּעַל,4,a place East of the Jordan,
H1155,בּוֹסֶר,4,sour grape,
H1172,בַּעֲלָה,4,mistress.,
H1176,בַּעַל זְבוּב,4,a special deity of the Ekronites,
H1188,בַּעַל פְּרָצִים,4,a place in Israel,
H1198,בַּעַר,4,foolish.,
H1207,בִּצָּה,4,mire(-ry place).,
H1248,בַּר,4,the heir (apparent to the throne),
H1261,בָּרוֹד,4,spotted (as if with hail),
H1335,בֶּתֶר,4,piece.,
H1356,גֵּב,4,"ditch, pit.",
H1362,גָּבָהּ,4,proud.,
H1372,גַּבַּחַת,4,a bare spot on the right side of cloth,
H1388,גִּבעָא,4,a place in Israel,
H1415,גָּדָה,4,a border of a river (as cut into by the stream),
H1430,גָּדִישׁ,4,a tomb,
H1435,גִּדֵּל,4,"the name of one of the Nethinim, also of one of ""Solomon's servants""",
H1476,גּוּנִי,4,the name of two Israelites,
H1488,גֵּז,4,"mowing, mown grass.",
H1498,גָּזֵל,4,thing taken away by violence.,
H1547,גָּלוּת,4,galuwth (gaw-looth') n-f. 1. captivity [(Aramaic) corresponding to H1546]  Root(s): H1546,
H1550,גָּלִיל,4,ring.,
H1561,גֵּלֶל,4,dung (plural balls of dung),
H1565,גַּלמוּד,4,solitary.,
H1573,גּוֹמֶא,4,specifically the papyrus,
H1594,גִּנָּה,4,garden,
H1608,גַּעַשׁ,4,a hill in Israel,
H1610,גַּף,4,himself.,
H1621,גַּרגְּרוֹת,4,the throat (as used in rumination),
H1630,גְּרִזִים,4,a mountain of Israel,
H1631,גַּרזֶן,4,an axe,
H1654,גֶּשֶׁם גַּשׁמוּ,4,an Arabian,
H1667,גַּת ־ רִמּוֹן,4,a place in Israel,
H1675,דָּאָה,4,i.e. fly rapidly,
H1682,דְּבוֹרָה דֶּבוֹרָה,4,the bee (from its systematic instincts),
H1713,דָּגַל,4,(figuratively) to be conspicuous,
